"Campaign","Dataset","Horizon","Model","NSeeds","Seeds","MSE_mean","MSE_std","MAE_mean","MAE_std","experiment_run_on"
"SingleDual","ETTh2","192","PFB-Direct","5","2021;2022;2023;2024;2025","0.37376807928085326","0.008321545397033869","0.398529577255249","0.0029380949889378344","NVIDIA GeForce RTX 2080 Ti"
"SingleDual","ETTh2","192","PatchTST_SerialMatched","5","2021;2022;2023;2024;2025","0.37301080822944643","0.010526928875250653","0.39742982387542725","0.005889212359294021","NVIDIA GeForce RTX 2080 Ti"
"SingleDual","ETTm2","192","PFB-Direct","5","2021;2022;2023;2024;2025","0.2286747634410858","0.0041585206893991825","0.2974971830844879","0.0022566260506186177","NVIDIA GeForce RTX 2080 Ti"
"SingleDual","ETTm2","192","PatchTST_SerialMatched","5","2021;2022;2023;2024;2025","0.2362069606781006","0.012193955976752754","0.29993242025375366","0.005064955497978147","NVIDIA GeForce RTX 2080 Ti"
"SingleDual","Exchange","192","PFB-Direct","5","2021;2022;2023;2024;2025","0.22440648972988128","0.008363204036198477","0.33948822021484376","0.008741470972730366","NVIDIA GeForce RTX 2080 Ti"
"SingleDual","Exchange","192","PatchTST_SerialMatched","5","2021;2022;2023;2024;2025","0.20620833933353425","0.030008778581545874","0.3276774287223816","0.024779706302273462","NVIDIA GeForce RTX 2080 Ti"
"SingleDual","Weather","192","PFB-Direct","5","2021;2022;2023;2024;2025","0.19635603725910186","0.0019032639533696904","0.242906853556633","0.0027543353242689183","NVIDIA GeForce RTX 2080 Ti"
"SingleDual","Weather","192","PatchTST_SerialMatched","5","2021;2022;2023;2024;2025","0.19463110566139222","0.002180099538041601","0.24125356674194337","0.002381659776244959","NVIDIA GeForce RTX 2080 Ti"
