"model","datasets","tasks","mean_relative_mse_pct","cluster_ci95_low","cluster_ci95_high","source_gpu","source_note"
"PFB-Direct","9","27","-0.913624","-2.725096","1.606548","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"PFB-Projected","9","27","-1.445832","-2.539310","-0.204734","NVIDIA GeForce RTX 2080 Ti","local workstation result"
