Model,Dataset,Horizon,SeqLen,MSE,MAE,ExperimentName
Informer,ETTh1,192,96,1.2433260679244995,0.8894323706626892,long_term_forecast_Informer_H192_ETTh1_192_Informer_ETTh1_ftM_sl96_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchFusionBERT_BERTOnly,ETTh1,192,336,0.4237954318523407,0.4331972002983093,long_term_forecast_BERTOnly_H192_ETTh1_192_PatchFusionBERT_BERTOnly_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Ablation_100_0
PatchFusionBERT_v0,ETTh1,192,336,0.4106091260910034,0.4242137670516968,long_term_forecast_PFB_v0_H192_ETTh1_192_PatchFusionBERT_v0_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0
PatchFusionBERT_v0,ETTh1,192,336,0.4106091260910034,0.4242137670516968,long_term_forecast_PFB_v0_MS2021_ETTh1_192_PatchFusionBERT_v0_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchFusionBERT_v0,ETTh1,192,336,0.41884031891822815,0.42782071232795715,long_term_forecast_PFB_v0_MS2022_ETTh1_192_PatchFusionBERT_v0_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchFusionBERT_v0,ETTh1,192,336,0.4109627902507782,0.4267481565475464,long_term_forecast_PFB_v0_MS2023_ETTh1_192_PatchFusionBERT_v0_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchFusionBERT_v0,ETTh1,192,96,0.437430202960968,0.43308353424072266,long_term_forecast_ETTh1_96_192_PatchFusionBERT_v0_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_v2,ETTh1,192,336,0.41984885931015015,0.42661020159721375,long_term_forecast_PFB_v2_H192_ETTh1_192_PatchFusionBERT_v2_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0
PatchFusionBERT_v2,ETTh1,192,336,0.41984885931015015,0.42661020159721375,long_term_forecast_ETTh1_336_192_MS2021_PatchFusionBERT_v2_ETTh1_ftM_sl336_ll48_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_v2,ETTh1,192,336,0.41780033707618713,0.42608627676963806,long_term_forecast_ETTh1_336_192_MS2022_PatchFusionBERT_v2_ETTh1_ftM_sl336_ll48_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_v2,ETTh1,192,336,0.429414302110672,0.4361834228038788,long_term_forecast_ETTh1_336_192_MS2023_PatchFusionBERT_v2_ETTh1_ftM_sl336_ll48_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchTST,ETTh1,192,336,0.4311766028404236,0.4324896037578583,long_term_forecast_PatchTST_H192_ETTh1_192_PatchTST_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchTST,ETTh1,192,336,0.4311766028404236,0.4324896037578583,long_term_forecast_PatchTST_MS2021_ETTh1_192_PatchTST_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchTST,ETTh1,192,336,0.43365421891212463,0.4344260096549988,long_term_forecast_PatchTST_MS2022_ETTh1_192_PatchTST_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
PatchTST,ETTh1,192,336,0.4324001669883728,0.4440619647502899,long_term_forecast_PatchTST_MS2023_ETTh1_192_PatchTST_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0
TiDE,ETTh1,192,336,0.4283033311367035,0.43272972106933594,long_term_forecast_TiDE_H192_ETTh1_192_TiDE_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
TimeXer,ETTh1,192,336,0.4238514006137848,0.42693397402763367,long_term_forecast_TimeXer_H192_ETTh1_192_TimeXer_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
Transformer,ETTh1,192,96,0.9112381339073181,0.7560369372367859,long_term_forecast_Transformer_H192_ETTh1_192_Transformer_ETTh1_ftM_sl96_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
iTransformer,ETTh1,192,336,0.44948580861091614,0.4505912959575653,long_term_forecast_iTransformer_H192_ETTh1_192_iTransformer_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh1,336,336,0.4333930015563965,0.43712347745895386,long_term_forecast_DLinear_H336_ETTh1_192_DLinear_ETTh1_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh1,336,336,0.43816930055618286,0.444356769323349,long_term_forecast_DLinear_ETTh1_H336_seed2021_DLinear_ETTh1_ftM_sl336_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
DLinear,ETTh1,336,336,0.4348073899745941,0.44001448154449463,long_term_forecast_DLinear_ETTh1_H336_seed2022_DLinear_ETTh1_ftM_sl336_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
DLinear,ETTh1,336,336,0.43372827768325806,0.43852537870407104,long_term_forecast_DLinear_ETTh1_H336_seed2023_DLinear_ETTh1_ftM_sl336_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
Informer,ETTh1,336,336,1.2789709568023682,0.8911445140838623,long_term_forecast_ETTh1_336_336_Informer_ETTh1_ftM_sl336_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_BERTOnly,ETTh1,336,336,0.44909825921058655,0.4536488652229309,long_term_forecast_BERTOnly_H336_ETTh1_192_PatchFusionBERT_BERTOnly_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Ablation_100_0
PatchFusionBERT_v0,ETTh1,336,336,0.4378277361392975,0.44761794805526733,long_term_forecast_PFB_v0_H336_ETTh1_192_PatchFusionBERT_v0_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0
PatchFusionBERT_v0,ETTh1,336,96,0.4947746694087982,0.46155381202697754,long_term_forecast_ETTh1_96_336_PatchFusionBERT_v0_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_v2,ETTh1,336,336,0.4410969614982605,0.4404427409172058,long_term_forecast_PFB_v2_H336_ETTh1_192_PatchFusionBERT_v2_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0
