Model,Rank,MSE,MAE
BERTOnly,1,0.311931,0.344235
PatchTST (Baseline),2,0.375361,0.370094
PatchFusionBERT_v0,3,0.438714,0.369002
PatchFusionBERT_v2,7,0.743645,0.509752
