Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE,Clean_MSE,Clean_MAE,MSE_DegradationPct,MAE_DegradationPct
Exchange,192,PatchFusionBERT_v0,random,0.1,24,long_term_forecast_PFB_v0_MS2021_Exchange_192_PatchFusionBERT_v0_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.347880095243454,0.4216330945491791,0.5898135900497437,1.869571089744568,1841.4462890625,0.2183931320905685,0.3339884579181671,59.290767027960726,26.241816012841497
Exchange,192,PatchFusionBERT_v2,random,0.1,24,long_term_forecast_PFB_v2_H192_Exchange_192_PatchFusionBERT_v2_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.3541126847267151,0.4011816680431366,0.5950736999511719,1.6897203922271729,1444.3006591796875,0.1877979636192321,0.3108313381671905,88.56044969938692,29.06731683127404
Exchange,192,DLinear,random,0.2,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3607890009880066,0.4735924899578094,0.6006571650505066,1.4443697929382324,907.6231689453124,0.1866598278284073,0.3224077522754669,93.28690333930493,46.89240150564662
Exchange,192,PatchTST,random,0.2,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,1.3886584043502808,0.8519014716148376,1.1784135103225708,1.855559468269348,903.0499267578124,0.1913107484579086,0.3182152509689331,625.8653345636811,167.71233277502705
Exchange,192,PatchFusionBERT_v0,random,0.2,24,long_term_forecast_PFB_v0_MS2021_Exchange_192_PatchFusionBERT_v0_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5554997324943542,0.5221849679946899,0.7453185319900513,1.725361466407776,1497.8929443359375,0.2183931320905685,0.3339884579181671,154.35769301755622,56.348207734362546
Exchange,192,PatchFusionBERT_v2,random,0.2,24,long_term_forecast_PFB_v2_H192_Exchange_192_PatchFusionBERT_v2_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.5610305666923523,0.5118788480758667,0.7490197420120239,1.5570067167282104,1127.4716796875,0.1877979636192321,0.3108313381671905,198.741560281167,64.68057921512934
Exchange,192,DLinear,random,0.3,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.5207660794258118,0.5773413181304932,0.7216412425041199,1.362391471862793,707.8710327148438,0.1866598278284073,0.3224077522754669,178.99204959330712,79.07178535744688
Exchange,192,PatchTST,random,0.3,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,2.264333248138428,1.0961803197860718,1.5047701597213743,2.1287732124328613,1080.9530029296875,0.1913107484579086,0.3182152509689331,1083.5891429992587,244.47761898536103
Exchange,192,PatchFusionBERT_v0,random,0.3,24,long_term_forecast_PFB_v0_MS2021_Exchange_192_PatchFusionBERT_v0_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.8102282881736755,0.6262239217758179,0.9001268148422241,1.651729941368103,1306.062744140625,0.2183931320905685,0.3339884579181671,270.9953149248625,87.49867156464833
Exchange,192,PatchFusionBERT_v2,random,0.3,24,long_term_forecast_PFB_v2_H192_Exchange_192_PatchFusionBERT_v2_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.8535506725311279,0.6395734548568726,0.9238780736923218,1.504815936088562,949.8690185546876,0.1877979636192321,0.3108313381671905,354.5047539821764,105.76221774422811
Illness,24,DLinear,block,0.1,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.846837997436523,1.396440505981445,1.9613357782363887,2.7395973205566406,307.5785217285156,3.2126238346099854,1.2708706855773926,19.74131412442601,9.880613490349145
Illness,24,PatchTST,block,0.1,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.868516445159912,1.172669768333435,1.6936695575714111,3.65125036239624,726.079345703125,2.226719379425049,1.0280022621154783,28.822539187698577,14.072683645681108
Illness,24,PatchFusionBERT_v0,block,0.1,24,long_term_forecast_PFB_v0_MS2021_Illness_192_PatchFusionBERT_v0_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.580906867980957,1.0530664920806885,1.6065200567245483,3.204677104949951,666.6123046875,1.960111379623413,0.8826153874397278,31.671439429978438,19.312047701253167
Illness,24,PatchFusionBERT_v2,block,0.1,24,long_term_forecast_Illness_104_24_MS2021_PatchFusionBERT_v2_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.763219356536865,1.1086632013320925,1.6622934341430664,3.154017210006714,585.4088745117188,2.0520384311676025,0.9311892986297609,34.657290748916566,19.058842596610955
Illness,24,DLinear,block,0.2,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.846837997436523,1.396440505981445,1.9613357782363887,2.7395973205566406,307.5785217285156,3.2126238346099854,1.2708706855773926,19.74131412442601,9.880613490349145
Illness,24,PatchTST,block,0.2,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.868516445159912,1.172669768333435,1.6936695575714111,3.65125036239624,726.079345703125,2.226719379425049,1.0280022621154783,28.822539187698577,14.072683645681108
Illness,24,PatchFusionBERT_v0,block,0.2,24,long_term_forecast_PFB_v0_MS2021_Illness_192_PatchFusionBERT_v0_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.580906867980957,1.0530664920806885,1.6065200567245483,3.204677104949951,666.6123046875,1.960111379623413,0.8826153874397278,31.671439429978438,19.312047701253167
Illness,24,PatchFusionBERT_v2,block,0.2,24,long_term_forecast_Illness_104_24_MS2021_PatchFusionBERT_v2_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.763219356536865,1.1086632013320925,1.6622934341430664,3.154017210006714,585.4088745117188,2.0520384311676025,0.9311892986297609,34.657290748916566,19.058842596610955
Illness,24,DLinear,block,0.3,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.846837997436523,1.396440505981445,1.9613357782363887,2.7395973205566406,307.5785217285156,3.2126238346099854,1.2708706855773926,19.74131412442601,9.880613490349145
Illness,24,PatchTST,block,0.3,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.868516445159912,1.172669768333435,1.6936695575714111,3.65125036239624,726.079345703125,2.226719379425049,1.0280022621154783,28.822539187698577,14.072683645681108
Illness,24,PatchFusionBERT_v0,block,0.3,24,long_term_forecast_PFB_v0_MS2021_Illness_192_PatchFusionBERT_v0_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.580906867980957,1.0530664920806885,1.6065200567245483,3.204677104949951,666.6123046875,1.960111379623413,0.8826153874397278,31.671439429978438,19.312047701253167
Illness,24,PatchFusionBERT_v2,block,0.3,24,long_term_forecast_Illness_104_24_MS2021_PatchFusionBERT_v2_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.763219356536865,1.1086632013320925,1.6622934341430664,3.154017210006714,585.4088745117188,2.0520384311676025,0.9311892986297609,34.657290748916566,19.058842596610955
Illness,24,DLinear,random,0.1,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.459383964538574,1.3220524787902832,1.8599419593811035,2.953943490982056,335.1434936523437,3.2126238346099854,1.2708706855773926,7.680953097284908,4.027301423640697
Illness,24,PatchTST,random,0.1,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.481096744537353,1.106569528579712,1.5751497745513916,4.081719398498535,919.8035888671876,2.226719379425049,1.0280022621154783,11.423862722117498,7.642713382999146
Illness,24,PatchFusionBERT_v0,random,0.1,24,long_term_forecast_PFB_v0_MS2021_Illness_192_PatchFusionBERT_v0_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.194731473922729,0.9716910123825072,1.4814625978469849,3.338167428970337,670.9249267578125,1.960111379623413,0.8826153874397278,11.969732778368565,10.092235668037484
Illness,24,PatchFusionBERT_v2,random,0.1,24,long_term_forecast_Illness_104_24_MS2021_PatchFusionBERT_v2_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.260592460632324,1.004497766494751,1.5035266876220703,3.328920364379883,646.0903930664062,2.0520384311676025,0.9311892986297609,10.163261384244894,7.87256339531211
Illness,24,DLinear,random,0.2,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,3.7405054569244394,1.3751846551895142,1.9340386390686035,2.725970983505249,270.4556579589844,3.2126238346099854,1.2708706855773926,16.43147936050033,8.208071111871527
Illness,24,PatchTST,random,0.2,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.790583372116089,1.184946060180664,1.6705039739608765,3.843118667602539,804.0360107421875,2.226719379425049,1.0280022621154783,25.32263373198974,15.26687283179887
Illness,24,PatchFusionBERT_v0,random,0.2,24,long_term_forecast_PFB_v0_MS2021_Illness_192_PatchFusionBERT_v0_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,2.512208938598633,1.0659408569335938,1.584994912147522,3.14017391204834,579.1771850585938,1.960111379623413,0.8826153874397278,28.166642197714886,20.770708521823153
Illness,24,PatchFusionBERT_v2,random,0.2,24,long_term_forecast_Illness_104_24_MS2021_PatchFusionBERT_v2_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0,104,18,128,3,32,2.5521063804626465,1.0875693559646606,1.5975313186645508,3.1900651454925537,602.5773315429688,2.0520384311676025,0.9311892986297609,24.369326699720094,16.79358402904888
Illness,24,DLinear,random,0.3,24,long_term_forecast_DLinear_MS2021_Illness_192_DLinear_custom_ftM_sl104_ll18_pl24_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,512,2,32,4.038584232330322,1.4279998540878296,2.009622812271118,2.4950170516967773,215.0977478027344,3.2126238346099854,1.2708706855773926,25.709838444892476,12.36389904131346
Illness,24,PatchTST,random,0.3,24,long_term_forecast_PatchTST_MS2021_Illness_192_PatchTST_custom_ftM_sl104_ll18_pl24_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,104,18,128,3,32,3.153149366378784,1.2654998302459717,1.775710940361023,3.553701400756836,672.2015991210938,2.226719379425049,1.0280022621154783,41.60515220346017,23.102825439484747
