Dataset,Horizon,Model,Checkpoint_Folder,Seq_Len,D_Model,E_Layers,Batch_Size,Corruption,Rate,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,96,PFB-Direct,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,gaussian,0.5,0.1733258217573166,0.26327458024024963,0.4163241684436798,1.084924578666687,218.7436065673828
ETTm2,96,PFB-Direct,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,channel_dropout,0.1,0.5787044167518616,0.41132086515426636,0.7607262134552002,1.070670485496521,201.00770568847656
ETTm2,96,PFB-Direct,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,channel_dropout,0.2,0.5787044167518616,0.41132086515426636,0.7607262134552002,1.070670485496521,201.00770568847656
ETTm2,96,PFB-Direct,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,channel_dropout,0.3,1.0159714221954346,0.5639991164207458,1.0079541206359863,1.058359146118164,174.7696990966797
ETTm2,96,PFB-Projected,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,clean,0.0,0.1695358157157898,0.25669148564338684,0.4117472767829895,1.0313113927841187,194.1164093017578
ETTm2,96,PFB-Projected,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,gaussian,0.1,0.1696060448884964,0.2568455934524536,0.4118325412273407,1.032071828842163,194.1919708251953
ETTm2,96,PFB-Projected,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,gaussian,0.3,0.1704287976026535,0.2580437958240509,0.4128302335739136,1.038794994354248,194.39801025390625
ETTm2,96,PFB-Projected,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,gaussian,0.5,0.17259667813777924,0.2604503333568573,0.41544756293296814,1.0522868633270264,196.048095703125
ETTm2,96,PFB-Projected,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,channel_dropout,0.1,0.5797656774520874,0.41054728627204895,0.7614234685897827,1.0436326265335083,180.7115020751953
ETTm2,96,PFB-Projected,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,channel_dropout,0.2,0.5797656774520874,0.41054728627204895,0.7614234685897827,1.0436326265335083,180.7115020751953
ETTm2,96,PFB-Projected,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,128,3,32,channel_dropout,0.3,1.0168644189834595,0.5632471442222595,1.0083969831466675,1.0375661849975586,158.04714965820312
ETTm2,192,DLinear,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,512,2,32,clean,0.0,0.23572883009910583,0.31527718901634216,0.485519140958786,1.1286134719848633,209.4220733642578
ETTm2,192,DLinear,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,512,2,32,gaussian,0.1,0.2358439415693283,0.31540343165397644,0.4856376647949219,1.1292977333068848,209.63233947753906
ETTm2,192,DLinear,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,512,2,32,gaussian,0.3,0.2368858903646469,0.31650444865226746,0.48670923709869385,1.1354097127914429,211.30625915527344
ETTm2,192,DLinear,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,512,2,32,gaussian,0.5,0.23900914192199707,0.3186626434326172,0.4888856112957001,1.1473827362060547,214.6513214111328
ETTm2,192,DLinear,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,512,2,32,channel_dropout,0.1,0.6383387446403503,0.4617251753807068,0.7989610433578491,1.1104772090911865,175.302001953125
ETTm2,192,DLinear,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,512,2,32,channel_dropout,0.2,0.6383387446403503,0.4617251753807068,0.7989610433578491,1.1104772090911865,175.302001953125
ETTm2,192,DLinear,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,512,2,32,channel_dropout,0.3,1.0600011348724365,0.6057417988777161,1.029563546180725,1.0862820148468018,152.8291473388672
ETTm2,192,PatchTST,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,clean,0.0,0.22819937765598297,0.30184659361839294,0.47770217061042786,1.2074114084243774,236.75086975097656
ETTm2,192,PatchTST,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,gaussian,0.1,0.22828534245491028,0.3019162714481354,0.4777921438217163,1.2079967260360718,236.8238983154297
ETTm2,192,PatchTST,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,128,3,32,gaussian,0.3,0.22956421971321106,0.3029769957065582,0.4791285991668701,1.216775894165039,238.51718139648438
