Model,Dataset,Horizon,MSE_mean,MSE_std,N_runs,MAE_mean,MAE_std
PatchTST,ETTm1,336,0.3670099973678589,,1,0.39331427216529846,
PatchTST,ETTm2,96,0.17260220646858215,0.0022513160600579154,2,0.26145927608013153,0.0017220991567308747
PatchTST,ETTm2,192,0.22819937765598297,,1,0.30184659361839294,
PatchTST,ETTm2,336,0.29472317298253375,0.005228505046206689,3,0.344631165266037,0.0017803184129635175
PatchTST,Exchange,96,0.09038432687520981,,1,0.21523194015026093,
PatchTST,Exchange,192,0.1903869460026423,0.005499793546507695,3,0.31639037529627484,0.004539598258094421
PatchTST,Exchange,336,0.36696478724479675,0.0035150893126570733,2,0.4417002201080322,0.0016417883368933662
PatchTST,Illness,24,2.1135674715042114,0.131831825346249,4,0.9675855785608292,0.07088746342988357
PatchTST,Illness,96,0.09531733393669128,,1,0.21947354078292847,
PatchTST,Weather,96,0.14989890158176422,,1,0.198434978723526,
PatchTST,Weather,192,0.19619545340538025,,1,0.24292491376399994,
PatchTST,Weather,336,0.24727210899194083,0.0005547564564740179,3,0.28214279810587567,0.000658476547796645
TiDE,ETTh1,96,0.3958204686641693,,1,0.4140930771827698,
TiDE,ETTh2,192,0.3516623079776764,,1,0.3902686834335327,
TiDE,ETTh2,336,0.3736087679862976,,1,0.4109189212322235,
TiDE,ETTm1,96,0.30686715245246887,,1,0.3485134243965149,
TiDE,ETTm2,192,0.2241380214691162,,1,0.29645276069641113,
TiDE,ETTm2,336,0.27799898386001587,,1,0.3314071595668793,
TiDE,Illness,24,3.703519821166992,,1,1.388406753540039,
TiDE,Illness,96,0.09919607639312744,,1,0.2233162224292755,
TiDE,Weather,192,0.21849246323108673,,1,0.2611735761165619,
TiDE,Weather,336,0.2659444510936737,,1,0.2956544756889343,
TimeXer,ETTh1,192,0.4238514006137848,,1,0.42693397402763367,
TimeXer,ETTh1,336,0.45746710896492004,,1,0.45315131545066833,
TimeXer,ETTh2,96,0.29686692357063293,,1,0.36043912172317505,
TimeXer,ETTm1,192,0.3611519932746887,,1,0.3861735165119171,
TimeXer,ETTm1,336,0.38630211353302,,1,0.4051761329174042,
TimeXer,ETTm2,96,0.17164158821105957,,1,0.2562199532985687,
TimeXer,Exchange,192,0.1911032795906067,,1,0.3124316334724426,
TimeXer,Exchange,336,0.3792371153831482,,1,0.44857507944107056,
TimeXer,Illness,96,0.14884251356124878,,1,0.20079267024993896,
TimeXer,Illness,192,2.159614086151123,,1,0.9591979384422302,
TimeXer,Illness,336,2.159614086151123,,1,0.9591979384422302,
Transformer,ETTh2,96,2.7321393489837646,,1,1.3180590867996216,
Transformer,ETTh2,192,4.488413333892822,,1,1.7225699424743652,
Transformer,ETTm2,96,0.5292701721191406,,1,0.5343879461288452,
Transformer,ETTm2,192,1.2392427921295166,,1,0.835335910320282,
Transformer,Illness,96,0.32797306776046753,,1,0.37300539016723633,
Transformer,Weather,192,0.42565295100212097,,1,0.44341960549354553,
iTransformer,ETTh1,96,0.3997432291507721,,1,0.41739755868911743,
iTransformer,ETTh1,192,0.44948580861091614,,1,0.4505912959575653,
iTransformer,ETTh1,336,0.4636274576187134,,1,0.4645465910434723,
iTransformer,ETTm1,96,0.3099287152290344,,1,0.36134767532348633,
iTransformer,ETTm1,192,0.3424321711063385,,1,0.3800835907459259,
iTransformer,ETTm1,336,0.37863022089004517,,1,0.4014627933502197,
iTransformer,Exchange,192,0.21383392810821533,,1,0.3358319103717804,
iTransformer,Exchange,336,0.3749725818634033,,1,0.4523133635520935,
iTransformer,Illness,24,2.231973171234131,,1,1.012699007987976,
iTransformer,Illness,96,0.10383115708827972,,1,0.2309449315071106,
iTransformer,Illness,192,2.2221453189849854,,1,1.0151702165603638,
iTransformer,Illness,336,2.2221453189849854,,1,1.0151702165603638,
