model,batch_size,macs,flops,thop_params,actual_params,macs_fmt,flops_fmt
DLinear,1,2716560,5433120,129408,129408,2.717M,5.433M
PatchTST,1,546868224,1093736448,1629504,1629504,546.868M,1.094G
PatchTST_capacity,1,1559996928,3119993856,3283456,3283456,1.560G,3.120G
PatchFusionBERT_v0,1,1091930112,2183860224,3256768,3256768,1.092G,2.184G
PatchFusionBERT_v2,1,1273918464,2547836928,2456000,2456000,1.274G,2.548G
