dataset,horizon,model,seed,mse,mae
ETTh2,96,PatchFusionBERT_v0,2024,0.3172682821750641,0.3580883741378784
ETTh2,96,PatchFusionBERT_v2,2024,0.3118543326854706,0.35711055994033813
ETTh2,96,PatchTST,2024,0.31531020998954773,0.36600011587142944
ETTh2,96,DLinear,2024,0.2974250018596649,0.36015719175338745
Exchange,96,PatchFusionBERT_v0,2024,0.110756516456604,0.2350461632013321
Exchange,96,PatchFusionBERT_v2,2024,0.09058968722820282,0.21060623228549957
Exchange,96,PatchTST,2024,0.09872112423181534,0.22400900721549988
Exchange,96,DLinear,2024,0.07934888452291489,0.20103174448013306
Weather,96,PatchFusionBERT_v0,2024,0.15173278748989105,0.2010284960269928
Weather,96,PatchFusionBERT_v2,2024,0.1493517905473709,0.19752192497253418
Weather,96,PatchTST,2024,0.15144206583499908,0.2003570944070816
Weather,96,DLinear,2024,0.17435678839683533,0.23530469834804535
ETTm1,96,PatchFusionBERT_v0,2025,0.2987081706523895,0.3457051217556
ETTm1,96,PatchFusionBERT_v2,2025,0.30634716153144836,0.3470386266708374
ETTm1,96,PatchTST,2025,0.29750242829322815,0.35012975335121155
ETTm1,96,DLinear,2025,0.3004481792449951,0.3458523452281952
ETTm2,96,PatchFusionBERT_v0,2025,0.16999180614948273,0.2565985918045044
ETTm2,96,PatchFusionBERT_v2,2025,0.17506349086761475,0.25943613052368164
ETTm2,96,PatchTST,2025,0.1733406037092209,0.2628358006477356
ETTm2,96,DLinear,2025,0.1663731038570404,0.25897252559661865
ETTh1,96,PatchFusionBERT_v0,2025,0.37403932213783264,0.3990364372730255
ETTh1,96,PatchFusionBERT_v2,2025,0.385174959897995,0.40623220801353455
ETTh1,96,PatchTST,2025,0.3814803659915924,0.4095194339752197
ETTh1,96,DLinear,2025,0.379286527633667,0.40096086263656616
ETTh2,96,PatchFusionBERT_v0,2025,0.3033437132835388,0.350612998008728
ETTh2,96,PatchFusionBERT_v2,2025,0.29486167430877686,0.34822335839271545
ETTh2,96,PatchTST,2025,0.3113471269607544,0.35980501770973206
ETTh2,96,DLinear,2025,0.2939297556877136,0.3568645417690277
Exchange,96,PatchFusionBERT_v0,2025,0.09045932441949844,0.21137380599975586
Exchange,96,PatchFusionBERT_v2,2025,0.11390086263418198,0.23860181868076324
Exchange,96,PatchTST,2025,0.0926862582564354,0.219728022813797
