Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE,Clean_MSE,Clean_MAE,MSE_DegradationPct,MAE_DegradationPct
ETTm2,96,PFB-Direct,random,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.233914777636528,0.3232927620410919,0.4836473762989044,1.0250940322875977,177.92877197265625,0.1679251790046692,0.2571122050285339,39.29702443849945,25.739951553530272
ETTm2,96,PFB-Projected,random,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.2309749573469162,0.3126560151576996,0.4805985391139984,0.9873969554901124,156.6564483642578,0.1695358157157898,0.2566914856433868,36.23962368761248,21.80225392908533
ETTm2,96,DLinear,random,0.2,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.3652421832084656,0.424048364162445,0.6043527126312256,0.9591676592826844,132.65196228027344,0.169398158788681,0.2657256126403808,115.6116606108417,59.581291373793896
ETTm2,96,PatchTST,random,0.2,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.3712665438652038,0.414724737405777,0.6093164682388306,0.9744877219200134,129.49940490722656,0.1741941273212433,0.2626769840717315,113.13378905163995,57.88392685844316
ETTm2,96,PFB-Direct,random,0.2,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.3455933034420013,0.4075257480144501,0.5878718495368958,0.9939311146736144,141.97805786132812,0.1679251790046692,0.2571122050285339,105.80195625838338,58.501129096233896
ETTm2,96,PFB-Projected,random,0.2,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.3129568994045257,0.3817395269870758,0.5594255328178406,0.9539079666137696,125.08375549316406,0.1695358157157898,0.2566914856433868,84.59633327813594,48.71530546884373
ETTm2,96,DLinear,random,0.3,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.5385112762451172,0.5250586271286011,0.7338332533836365,0.9423675537109376,104.6948699951172,0.169398158788681,0.2657256126403808,217.8967706000237,97.59428604241776
ETTm2,96,PatchTST,random,0.3,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.5531339645385742,0.5195183157920837,0.7437297701835632,0.9617378115653992,101.13848114013672,0.1741941273212433,0.2626769840717315,217.53881318771562,97.77839220592479
ETTm2,96,PFB-Direct,random,0.3,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.5104695558547974,0.5078803896903992,0.7144715189933777,0.9734827280044556,111.8812026977539,0.1679251790046692,0.2571122050285339,203.98631037969812,97.53258684628972
ETTm2,96,PFB-Projected,random,0.3,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.4455512762069702,0.4709163904190063,0.6674962639808655,0.9340015649795532,98.82971954345705,0.1695358157157898,0.2566914856433868,162.80657825948313,83.45617862574346
ETTm2,192,DLinear,block,0.1,24,long_term_forecast_DLinear_MS2021_ETTm2_192_DLinear_ETTm2_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.2916155755519867,0.3587138950824737,0.5400144457817078,1.134091019630432,202.936767578125,0.2357288300991058,0.3152771890163421,23.70806550449719,13.777306947468404
ETTm2,192,PatchTST,block,0.1,24,long_term_forecast_PatchTST_MS2021_ETTm2_192_PatchTST_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.3510775864124298,0.4047460556030273,0.5925180315971375,1.198719501495361,210.0399932861328,0.2281993776559829,0.3018465936183929,53.846864096925515,34.089986158573055
ETTm2,192,PFB-Direct,block,0.1,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.2995193898677826,0.35736745595932,0.5472836494445801,1.1529505252838137,188.46755981445312,0.2346943616867065,0.2997196018695831,27.621041986347777,19.23392855527055
