Dataset,Horizon,Model,MSE,MAE,Source,MSE_Rank,MAE_Rank,BestExistingModel,BestExistingMSE,BestExistingMAE,DeltaVsBestExisting_MSE,DeltaVsBestExisting_MAE
Illness,48,DLinear,2.2889,1.0757,results_23-01.md,7.0,8.0,PatchFusionBERT_v0,1.8855,0.8946,0.4034,0.18110000000000015
Illness,48,WPMixer,2.3188672065734863,1.063295841217041,result_long_term_forecast.txt,8.0,7.0,PatchFusionBERT_v0,1.8855,0.8946,0.4333672065734864,0.16869584121704106
Illness,48,TiDE,3.5216,1.3425,results_23-01.md,9.0,10.0,PatchFusionBERT_v0,1.8855,0.8946,1.6360999999999999,0.4479000000000001
Illness,48,PatchFusionBERT_BERTOnly,3.7898,1.2888,results_23-01.md,10.0,9.0,PatchFusionBERT_v0,1.8855,0.8946,1.9043,0.3942
Illness,60,PatchFusionBERT_v0,1.993,0.9314,results_23-01.md,1.0,1.0,PatchFusionBERT_v0,1.993,0.9314,0.0,0.0
Illness,60,PatchTST,2.109,0.9999,results_23-01.md,2.0,2.0,PatchFusionBERT_v0,1.993,0.9314,0.11599999999999988,0.0685
Illness,60,PAttn,2.194166660308838,1.0309721231460571,result_long_term_forecast.txt,3.0,3.0,PatchFusionBERT_v0,1.993,0.9314,0.20116666030883779,0.09957212314605712
Illness,60,WPMixer,2.463890552520752,1.1052602529525757,result_long_term_forecast.txt,4.0,5.0,PatchFusionBERT_v0,1.993,0.9314,0.47089055252075185,0.17386025295257568
Illness,60,iTransformer,2.4974,1.0961,results_23-01.md,5.0,4.0,PatchFusionBERT_v0,1.993,0.9314,0.5043999999999997,0.16470000000000007
Illness,60,DLinear,2.5676,1.1649,results_23-01.md,6.0,8.0,PatchFusionBERT_v0,1.993,0.9314,0.5746,0.23350000000000004
Illness,60,TimeXer,2.844,1.1209,results_23-01.md,7.0,6.0,PatchFusionBERT_v0,1.993,0.9314,0.8509999999999998,0.1895
Illness,60,PatchFusionBERT_v2,2.948,1.1585,results_23-01.md,8.0,7.0,PatchFusionBERT_v0,1.993,0.9314,0.9549999999999998,0.22710000000000008
Illness,60,TiDE,3.8371,1.3567,results_23-01.md,9.0,9.0,PatchFusionBERT_v0,1.993,0.9314,1.8440999999999999,0.4253
Illness,60,PatchFusionBERT_BERTOnly,4.7495,1.553,results_23-01.md,10.0,10.0,PatchFusionBERT_v0,1.993,0.9314,2.7565,0.6215999999999999
Weather,96,WPMixer,0.14449982345104218,0.19479890167713165,result_long_term_forecast.txt,1.0,1.0,PatchFusionBERT_v0,0.1496,0.2007,-0.0051001765489578355,-0.005901098322868337
Weather,96,PatchFusionBERT_v0,0.1496,0.2007,results_23-01.md,2.0,4.0,PatchFusionBERT_v0,0.1496,0.2007,0.0,0.0
Weather,96,PAttn,0.15029042959213257,0.19896654784679413,result_long_term_forecast.txt,3.0,2.0,PatchFusionBERT_v0,0.1496,0.2007,0.0006904295921325576,-0.001733452153205861
Weather,96,TimeXer,0.1508,0.2024,results_23-01.md,4.0,6.0,PatchFusionBERT_v0,0.1496,0.2007,0.0011999999999999789,0.001700000000000007
Weather,96,PatchFusionBERT_v2,0.1522,0.2,results_23-01.md,5.0,3.0,PatchFusionBERT_v0,0.1496,0.2007,0.002599999999999991,-0.0006999999999999784
Weather,96,PatchFusionBERT_BERTOnly,0.1525,0.2132,results_23-01.md,6.0,8.0,PatchFusionBERT_v0,0.1496,0.2007,0.002899999999999986,0.012500000000000011
Weather,96,PatchTST,0.1526,0.2019,results_23-01.md,7.0,5.0,PatchFusionBERT_v0,0.1496,0.2007,0.0030000000000000027,0.0012000000000000066
Weather,96,iTransformer,0.1603,0.2096,results_23-01.md,8.0,7.0,PatchFusionBERT_v0,0.1496,0.2007,0.010699999999999987,0.008900000000000019
Weather,96,DLinear,0.1743,0.2339,results_23-01.md,9.0,10.0,PatchFusionBERT_v0,0.1496,0.2007,0.0247,0.03320000000000001
Weather,96,TiDE,0.1764,0.2267,results_23-01.md,10.0,9.0,PatchFusionBERT_v0,0.1496,0.2007,0.02679999999999999,0.026000000000000023
Weather,192,WPMixer,0.1864428073167801,0.23582673072814941,result_long_term_forecast.txt,1.0,1.0,PatchFusionBERT_v0,0.1936,0.2387,-0.007157192683219904,-0.0028732692718505815
Weather,192,PatchFusionBERT_v0,0.1936,0.2387,results_23-01.md,2.0,2.0,PatchFusionBERT_v0,0.1936,0.2387,0.0,0.0
Weather,192,PatchFusionBERT_v2,0.1938,0.2394,results_23-01.md,3.0,3.0,PatchFusionBERT_v0,0.1936,0.2387,0.00020000000000000573,0.0007000000000000062
Weather,192,TimeXer,0.1942,0.2409,results_23-01.md,4.0,5.0,PatchFusionBERT_v0,0.1936,0.2387,0.0006000000000000172,0.0022000000000000075
Weather,192,PAttn,0.19426733255386353,0.24088723957538605,result_long_term_forecast.txt,5.0,4.0,PatchFusionBERT_v0,0.1936,0.2387,0.0006673325538635311,0.002187239575386052
Weather,192,PatchTST,0.1962,0.2429,results_23-01.md,6.0,6.0,PatchFusionBERT_v0,0.1936,0.2387,0.002600000000000019,0.004200000000000009
Weather,192,PatchFusionBERT_BERTOnly,0.1975,0.2658,results_23-01.md,7.0,9.0,PatchFusionBERT_v0,0.1936,0.2387,0.0039000000000000146,0.027099999999999985
Weather,192,iTransformer,0.2031,0.2487,results_23-01.md,8.0,7.0,PatchFusionBERT_v0,0.1936,0.2387,0.009500000000000008,0.010000000000000009
Weather,192,DLinear,0.2181,0.2788,results_23-01.md,9.0,10.0,PatchFusionBERT_v0,0.1936,0.2387,0.024499999999999994,0.0401
Weather,192,TiDE,0.2185,0.2612,results_23-01.md,10.0,8.0,PatchFusionBERT_v0,0.1936,0.2387,0.024900000000000005,0.022499999999999992
Weather,336,WPMixer,0.23891547322273254,0.27683398127555847,result_long_term_forecast.txt,1.0,1.0,PatchFusionBERT_v2,0.2446,0.2802,-0.005684526777267468,-0.003366018724441533
Weather,336,PatchFusionBERT_v2,0.2446,0.2802,results_23-01.md,2.0,2.0,PatchFusionBERT_v2,0.2446,0.2802,0.0,0.0
Weather,336,TimeXer,0.2453,0.2811,results_23-01.md,3.0,3.0,PatchFusionBERT_v2,0.2446,0.2802,0.0006999999999999784,0.0009000000000000119
Weather,336,PatchFusionBERT_BERTOnly,0.2467,0.2936,results_23-01.md,4.0,8.0,PatchFusionBERT_v2,0.2446,0.2802,0.0020999999999999908,0.013400000000000023
Weather,336,PatchTST,0.2479,0.2814,results_23-01.md,5.0,4.0,PatchFusionBERT_v2,0.2446,0.2802,0.0032999999999999974,0.0011999999999999789
Weather,336,PAttn,0.24959240853786469,0.2830561697483063,result_long_term_forecast.txt,6.0,5.0,PatchFusionBERT_v2,0.2446,0.2802,0.004992408537864673,0.00285616974830627
Weather,336,PatchFusionBERT_v0,0.2517,0.2839,results_23-01.md,7.0,6.0,PatchFusionBERT_v2,0.2446,0.2802,0.0070999999999999674,0.003699999999999981
Weather,336,iTransformer,0.2527,0.2867,results_23-01.md,8.0,7.0,PatchFusionBERT_v2,0.2446,0.2802,0.008099999999999968,0.006500000000000006
Weather,336,DLinear,0.2624,0.3148,results_23-01.md,9.0,10.0,PatchFusionBERT_v2,0.2446,0.2802,0.01780000000000001,0.03460000000000002
Weather,336,TiDE,0.2659,0.2957,results_23-01.md,10.0,9.0,PatchFusionBERT_v2,0.2446,0.2802,0.021300000000000013,0.015500000000000014
