Model,Settings,AvgMSE,AvgMAE,AvgMSE_Rank,AvgMAE_Rank,MSE_Wins,MAE_Wins,AvgDeltaVsBestExisting_MSE,AvgDeltaVsBestExisting_MAE
WPMixer,21,0.5846925782305854,0.44206899404525757,3.238095238095238,3.0476190476190474,10,7,0.06391638775439488,0.024235660711924237
PAttn,21,0.5548044038670403,0.43553869142418816,4.666666666666667,4.666666666666667,1,2,0.03402821339084988,0.017705358090854828
