variable_idx,variable,mse_DLinear,mse_PatchTST,mse_PFB-Direct,pfb_direct_vs_patchtst_gain_pct
0,p (mbar),0.5461060404777527,0.40479469299316406,0.4038701057434082,0.22840893361717463
1,T (degC),0.15566618740558624,0.13068261742591858,0.12586736679077148,3.6846909672021866
2,Tpot (K),0.1634204089641571,0.14005810022354126,0.1349167376756668,3.6708783358335495
3,Tdew (degC),0.16472308337688446,0.15286408364772797,0.15155932307243347,0.8535428903996944
4,rh (%),0.3084248900413513,0.31235572695732117,0.3056779205799103,2.137885056436062
5,VPmax (mbar),0.08696599304676056,0.0664464682340622,0.06429789960384369,3.233533352613449
6,VPact (mbar),0.1394389569759369,0.12543383240699768,0.1244744062423706,0.7648862898349762
7,VPdef (mbar),0.06460118293762207,0.05160059407353401,0.050785087049007416,1.5804218128323555
8,sh (g/kg),0.13956744968891144,0.12575487792491913,0.1247531995177269,0.7965324446558952
9,H2OC (mmol/mol),0.13988837599754333,0.12605959177017212,0.12506504356861115,0.788950826972723
10,rho (g/m**3),0.20823562145233154,0.18944677710533142,0.18534760177135468,2.1637609228491783
11,wv (m/s),0.0006920645828358829,0.0007384069031104445,0.0007252736249938607,1.7785962671041489
12,max. wv (m/s),0.5531364679336548,0.5832616686820984,0.5760337710380554,1.2392204254865646
13,wd (deg),0.38669103384017944,0.38788360357284546,0.3870100975036621,0.22519798949360847
14,rain (mm),0.05325327068567276,0.05049046128988266,0.05082567781209946,-0.6639204919338226
15,raining (s),1.148202896118164,1.0569210052490234,1.057084083557129,-0.015429564518854022
16,SWDR (W/m2),0.056129515171051025,0.0504932776093483,0.04969264194369316,1.5856282785534859
17,PAR (umol/m2/s),0.051720716059207916,0.043979380279779434,0.04346650093793869,1.1661813594400883
18,max. PAR (umol/m2/s),0.03967646136879921,0.03252381086349487,0.032370276749134064,0.4720667842775583
19,Tlog (degC),0.13559845089912415,0.10904426872730255,0.10390998423099518,4.708440601825714
20,OT,0.0010915290331467986,0.0011264013592153788,0.001102497917599976,2.1221069619059563
