Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,96,PatchFusionBERT_v0,clean,0.0,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PatchFusionBERT_v0_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.1679251790046692,0.25711220502853394,0.40978676080703735,1.0629920959472656,215.6056365966797
ETTm2,96,PatchFusionBERT_v0,random,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PatchFusionBERT_v0_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.23391477763652802,0.3232927620410919,0.4836473762989044,1.0250940322875977,177.92877197265625
