dataset,horizon,model,step,per_step_mse,n_seeds
Weather,192,DLinear,116,0.23364391922950745,5
Weather,192,DLinear,117,0.23398785293102264,5
Weather,192,DLinear,118,0.23427176475524902,5
Weather,192,DLinear,119,0.2351442277431488,5
Weather,192,DLinear,120,0.2359151542186737,5
Weather,192,DLinear,121,0.23647408187389374,5
Weather,192,DLinear,122,0.23680612444877625,5
Weather,192,DLinear,123,0.23684349656105042,5
Weather,192,DLinear,124,0.2375352382659912,5
Weather,192,DLinear,125,0.2378154993057251,5
Weather,192,DLinear,126,0.23839661478996277,5
Weather,192,DLinear,127,0.23910805583000183,5
Weather,192,DLinear,128,0.23977860808372498,5
Weather,192,DLinear,129,0.2402230054140091,5
Weather,192,DLinear,130,0.2406618893146515,5
Weather,192,DLinear,131,0.24122008681297302,5
Weather,192,DLinear,132,0.24229314923286438,5
Weather,192,DLinear,133,0.242880180478096,5
Weather,192,DLinear,134,0.2436133325099945,5
Weather,192,DLinear,135,0.24414917826652527,5
Weather,192,DLinear,136,0.24487046897411346,5
Weather,192,DLinear,137,0.2456098049879074,5
Weather,192,DLinear,138,0.24613288044929504,5
Weather,192,DLinear,139,0.24683065712451935,5
Weather,192,DLinear,140,0.24771282076835632,5
Weather,192,DLinear,141,0.24854329228401184,5
Weather,192,DLinear,142,0.24980492889881134,5
Weather,192,DLinear,143,0.2507249414920807,5
Weather,192,DLinear,144,0.2514170706272125,5
Weather,192,DLinear,145,0.2524029612541199,5
Weather,192,DLinear,146,0.2533203363418579,5
Weather,192,DLinear,147,0.2545127868652344,5
Weather,192,DLinear,148,0.25581279397010803,5
Weather,192,DLinear,149,0.2567306160926819,5
Weather,192,DLinear,150,0.25814059376716614,5
Weather,192,DLinear,151,0.259153813123703,5
Weather,192,DLinear,152,0.2598169445991516,5
Weather,192,DLinear,153,0.261420875787735,5
Weather,192,DLinear,154,0.2628090977668762,5
Weather,192,DLinear,155,0.26377958059310913,5
Weather,192,DLinear,156,0.2656187117099762,5
Weather,192,DLinear,157,0.26670509576797485,5
Weather,192,DLinear,158,0.26832887530326843,5
Weather,192,DLinear,159,0.2696002423763275,5
