dataset,horizon,comparison,model_a,model_b,metric,n_pairs,n_nonzero,statistic,p_value,mean_diff,median_diff,rank_biserial,winner,significant,p_holm,p_fdr_bh,significant_holm,significant_fdr_bh
ETTm1,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,4.0,0.4375,0.0039274871349334,0.0036387741565704,0.4666666666666667,PatchTST,No,1.0,0.572727,No,No
ETTm1,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,7.0,1.0,5.886554718017578e-05,0.0006954073905944,0.0666666666666666,PatchTST,No,1.0,1.0,No,No
ETTm2,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,1.0,0.125,-0.0083137452602386,-0.0111630260944366,-0.8666666666666667,PatchFusionBERT_v0,No,1.0,0.214286,No,No
ETTm2,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,0.0,0.0625,-0.0094761371612548,-0.010879099369049,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
ETTm2,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,0.0,0.0625,-0.003641864657402,-0.0040178000926971,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
ETTm2,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,4.0,0.4375,-0.0010967969894409,-0.0004119575023651,-0.4666666666666667,PatchFusionBERT_v0,No,1.0,0.572727,No,No
ETTm2,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MSE,5,5,5.0,0.625,-0.0021103262901306,-0.0010344684123992,-0.3333333333333333,PatchFusionBERT_v0,No,1.0,0.737705,No,No
ETTm2,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MAE,5,5,0.0,0.0625,-0.0128707826137542,-0.015557587146759,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
ETTm2,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,2.0,0.1875,-0.0046718806028366,-0.0071452260017395,-0.7333333333333333,PatchFusionBERT_v2,No,1.0,0.287234,No,No
ETTm2,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,0.0,0.0625,-0.0083793401718139,-0.0078857243061065,-1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
Exchange,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,0.0,0.0625,0.032292103767395,0.0295913219451904,1.0,PatchTST,No,1.0,0.140625,No,No
Exchange,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,0.0,0.0625,0.0214813292026519,0.0225705504417419,1.0,PatchTST,No,1.0,0.140625,No,No
Exchange,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,0.0,0.0625,0.0232661694288253,0.0187159329652786,1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
Exchange,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,0.0,0.0625,0.0177849531173706,0.0165214836597442,1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
Exchange,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MSE,5,5,0.0,0.0625,0.0464972019195556,0.0442358255386352,1.0,DLinear,No,1.0,0.140625,No,No
Exchange,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MAE,5,5,0.0,0.0625,0.023453414440155,0.0205323100090026,1.0,DLinear,No,1.0,0.140625,No,No
Exchange,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,1.0,0.125,0.0090259343385696,0.0073751509189605,0.8666666666666667,PatchTST,No,1.0,0.214286,No,No
Exchange,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,3.0,0.3125,0.0036963760852813,0.0024311542510986,0.6,PatchTST,No,1.0,0.424528,No,No
Illness,24,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,5.0,0.625,-0.0814092636108398,-0.132235050201416,-0.3333333333333333,PatchFusionBERT_v0,No,1.0,0.737705,No,No
Illness,24,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,3.0,0.3125,-0.049354064464569,-0.0542072057723999,-0.6,PatchFusionBERT_v0,No,1.0,0.424528,No,No
Illness,24,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,0.0,0.0625,-0.1227097511291503,-0.0919270515441894,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
Illness,24,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,1.0,0.125,-0.0562494874000549,-0.054032027721405,-0.8666666666666667,PatchFusionBERT_v0,No,1.0,0.214286,No,No
